Date,Open,High,Low,Close,Adjusted_close,Volume,SMA5,SMA21,SMA50,MACD,MACDS,RSI,ATRts,ATRts1,Gap,Price_Retrace,Macd_Retrace
2010-02-16,201.94,203.69,201.52,203.4,25.2228,19426823,203.4,203.4,203.4,0.0,0.0,,,,,0,0
2010-02-17,204.19,204.31,200.86,202.55,25.1176,15585530,202.975,202.975,202.975,-0.067806267806276,-0.013561253561254998,0.0,,,0.7899999999999922,0,0
2010-02-18,201.63,203.89,200.92,202.928,25.1645,15100873,202.959333333333,202.959333333333,202.959333333333,-0.090004269445899,-0.028849856738184,32.38281728062589,188.17846823820202,194.271872848629,0.920000000000016,0,0
2010-02-19,201.86,203.2,201.11,201.67,25.0082,14847638,202.637,202.637,202.637,-0.206723452845068,-0.064424575959561,14.987778150557,189.32830510062402,195.414498278903,1.06799999999998,0,0
2010-02-22,202.34,202.5,199.19,200.416,24.8528,13958024,202.1928,202.1928,202.1928,-0.3958484717151409,-0.13070935511067694,9.50609035264895,189.32830510062402,195.414498278903,0.670000000000016,0,0
2010-02-23,200.0,201.33,195.71,197.05900000000003,24.4364,20546889,200.9246,201.33716666666697,201.33716666666697,-0.8073071221493541,-0.266028908518412,4.62713031919784,189.32830510062402,195.414498278903,0.4159999999999969,0,0
2010-02-24,198.23,201.44,197.84,200.656,24.8826,16448768,200.5458,201.239857142857,201.239857142857,-0.8335347585619101,-0.3795300785271121,40.1015185664579,189.32830510062402,195.414498278903,1.17099999999996,0,0
2010-02-25,197.38,202.86,196.89,202.0,25.0493,23764153,200.3602,201.334875,201.334875,-0.737370829727723,-0.451098228767234,47.8993949401005,189.32830510062402,195.414498278903,3.27599999999998,0,1
2010-02-26,202.38,205.17,202.0,204.62,25.3741,18123580,200.9502,201.699888888889,201.699888888889,-0.444622784860769,-0.44980313998594107,59.0823771596972,189.47141005838,195.414498278903,0.379999999999995,0,0
2010-03-01,205.75,209.5,205.45,208.99,25.916,19646169,202.665,202.4289,202.4289,0.13840913387957698,-0.33216068521283804,70.4682982606743,192.602920051893,197.950008444825,1.13,0,0
2010-03-02,209.93,210.83,207.74,208.85,25.8987,20233736,205.0232,203.012636363636,203.012636363636,0.582455119970945,-0.149237524176081,69.798207963167,196.95259560168304,202.19000675586003,0.939999999999998,0,0
2010-03-03,208.94,209.87,207.94,209.33,25.9582,13294242,206.758,203.53908333333302,203.53908333333302,0.962007329928895,0.073011446644914,70.8226406225208,197.29175164594002,202.483005404688,0.090000000000003,0,0
2010-03-04,209.28,210.92,208.63,210.71,26.1291,13072848,208.5,204.090692307692,204.090692307692,1.3584997185862198,0.330109101033175,73.595634848062,198.51989035194697,203.65740432375,0.05000000000001099,0,0
2010-03-05,214.94,219.7,214.63,218.95,27.151,32129229,211.366,205.15207142857102,205.15207142857102,2.31098236247919,0.726283753322379,83.611307129636,200.464902535064,205.48492345900002,4.229999999999991,0,0
2010-03-08,220.01,220.09,218.25,219.08,27.1669,15353177,213.384,206.0806,206.0806,3.0412638371819,1.18927977009428,83.716251605532,207.34602447561198,212.07293876720001,1.06,0,0
2010-03-09,218.31,225.0,217.89,223.02,27.6556,32866380,216.218,207.1393125,207.1393125,3.89306540468763,1.7300368970129498,86.5312605066523,208.254243978322,213.02635101376,0.77000000000001,-1,0
2010-03-10,223.8295,225.48,223.2,224.84,27.8814,21293449,219.32,208.18052941176498,208.18052941176498,4.66125107262303,2.31627973213497,87.59781589151159,211.422105758508,216.044080811008,0.809499999999986,0,0
2010-03-11,223.91,225.5,223.32,225.5,27.9632,14489234,222.278,209.14272222222198,209.14272222222198,5.26263584296987,2.90555095430195,87.9698516409124,213.847427340896,218.521264648806,0.9300000000000072,0,0
